75 75
0 1 127
1 2 49
2 3 120
3 4 13
4 5 128
5 6 23
6 7 104
7 8 64
8 9 9
9 10 81
10 11 96
11 12 69
12 13 25
13 14 138
14 15 0
15 16 19
16 17 18
17 18 141
18 19 114
19 20 1
20 21 34
21 22 50
22 23 75
23 24 64
24 25 140
25 26 48
26 27 57
27 28 65
28 29 10
29 30 70
30 31 66
31 32 42
32 33 80
33 34 150
34 35 17
35 36 33
36 37 22
37 38 61
38 39 126
39 40 72
40 41 81
41 42 93
42 43 14
43 44 27
44 45 72
45 46 37
46 47 131
47 48 25
48 49 127
49 50 78
50 51 64
51 52 146
52 53 143
53 54 115
54 55 22
55 56 100
56 57 135
57 58 89
58 59 17
59 60 51
60 61 132
61 62 97
62 63 95
63 64 125
64 65 123
65 66 1
66 67 20
67 68 59
68 69 98
69 70 84
70 71 0
71 72 0
72 73 29
73 74 20
74 0 125
