100 3465
0 1 97
0 2 153
0 3 31
0 4 32
0 5 68
0 6 152
0 7 43
0 8 172
0 9 175
0 10 154
0 11 165
0 12 65
0 13 198
0 14 97
0 15 186
0 16 42
0 17 176
0 18 145
0 19 73
0 20 34
0 21 165
0 22 119
0 23 142
0 24 18
0 25 132
0 26 111
0 27 63
0 28 166
0 29 127
0 30 38
0 31 52
0 32 125
0 33 5
0 34 88
0 35 101
0 36 83
0 37 109
0 38 69
0 39 182
0 40 164
0 41 131
0 42 30
0 43 150
0 44 183
0 45 97
0 46 190
0 47 47
0 48 5
0 49 33
0 50 42
0 51 92
0 52 74
0 53 53
0 54 54
0 55 175
0 56 173
0 57 26
0 58 95
0 59 80
0 60 27
0 61 136
0 62 62
0 63 75
0 64 143
0 65 174
0 66 173
0 67 43
0 68 171
0 69 188
0 70 58
0 71 45
0 72 125
0 73 86
0 74 199
0 75 153
0 76 145
0 77 13
0 78 10
0 79 66
0 80 113
0 81 135
0 82 103
0 83 36
0 84 52
0 85 44
0 86 94
0 87 147
0 88 131
0 89 95
0 90 37
0 91 149
0 92 50
0 93 84
0 94 129
0 95 112
0 96 68
0 97 141
0 98 34
0 99 200
1 2 32
1 3 108
1 4 111
1 5 139
1 6 143
1 7 186
1 8 76
1 9 82
1 10 155
1 11 89
1 12 53
1 13 13
1 14 71
1 15 104
1 16 61
1 17 86
1 18 18
1 19 22
1 20 132
1 21 157
1 22 196
1 23 30
1 24 61
1 25 103
1 26 150
1 27 128
1 28 33
1 29 65
1 30 45
1 31 197
1 32 92
1 33 58
1 34 81
1 35 70
1 36 127
1 37 108
1 38 173
1 39 132
1 40 135
1 41 200
1 42 54
1 43 97
1 44 60
1 45 60
1 46 26
1 47 96
1 48 190
1 49 120
1 50 78
1 51 73
1 52 18
1 53 11
1 54 199
1 55 198
1 56 11
1 57 98
1 58 179
1 59 108
1 60 71
1 61 103
1 62 108
1 63 175
1 64 152
1 65 10
1 66 3
1 67 149
1 68 28
1 69 36
1 70 85
1 71 88
1 72 81
1 73 108
1 74 61
1 75 94
1 76 198
1 77 107
1 78 140
1 79 110
1 80 96
1 81 12
1 82 136
1 83 146
1 84 151
1 85 39
1 86 101
1 87 109
1 88 110
1 89 71
1 90 62
1 91 170
1 92 129
1 93 125
1 94 151
1 95 162
1 96 165
1 97 39
1 98 112
1 99 88
2 3 153
2 4 16
2 5 135
2 6 89
2 7 123
2 8 134
2 9 162
2 10 85
2 11 11
2 12 69
2 13 193
2 14 180
2 15 31
2 16 145
2 17 97
2 18 30
2 19 109
2 20 66
2 21 74
2 22 138
2 23 74
2 24 64
2 25 175
2 26 11
2 27 77
2 28 93
2 29 34
2 30 92
2 31 165
2 32 116
2 33 151
2 34 195
2 35 38
2 36 27
2 37 150
2 38 87
2 39 131
2 40 104
2 41 92
2 42 88
2 43 168
2 44 89
2 45 103
2 46 174
2 47 184
2 48 185
2 49 39
2 50 45
2 51 119
2 52 155
2 53 132
2 54 140
2 55 65
2 56 58
2 57 84
2 58 72
2 59 164
2 60 75
2 61 179
2 62 14
2 63 169
2 64 77
2 65 22
2 66 88
2 67 119
2 68 79
2 69 176
2 70 153
2 71 163
2 72 133
2 73 16
2 74 95
2 75 39
2 76 163
2 77 47
2 78 56
2 79 55
2 80 139
2 81 144
2 82 102
2 83 12
2 84 180
2 85 175
2 86 25
2 87 60
2 88 184
2 89 156
2 90 36
2 91 32
2 92 147
2 93 41
2 94 110
2 95 176
2 96 130
2 97 22
2 98 146
2 99 40
3 4 31
3 5 26
3 6 172
3 7 59
3 8 193
3 9 91
3 10 93
3 11 141
3 12 139
3 13 13
3 14 163
3 15 87
3 16 155
3 17 149
3 18 7
3 19 68
3 20 51
3 21 33
3 22 47
3 23 137
3 24 139
3 25 55
3 26 144
3 27 167
3 28 14
3 29 174
3 30 82
3 31 81
3 32 172
3 33 130
3 34 138
3 35 135
3 36 79
3 37 114
3 38 46
3 39 41
3 40 84
3 41 108
3 42 141
3 43 52
3 44 42
3 45 78
3 46 146
3 47 27
3 48 99
3 49 181
3 50 2
3 51 176
3 52 14
3 53 49
3 54 114
3 55 61
3 56 139
3 57 23
3 58 80
3 59 3
3 60 62
3 61 84
3 62 138
3 63 186
3 64 197
3 65 186
3 66 132
3 67 81
3 68 200
3 69 156
3 70 25
3 71 196
3 72 159
3 73 139
3 74 77
3 75 188
3 76 159
3 77 117
3 78 159
3 79 48
3 80 167
3 81 11
